11:19:50 - Info   :    Caching database...
11:19:50 - Info   :        Clearing Tables...
11:19:50 - Info   :    Waiting for a connection... 
11:20:56 - Info   :    Connected!
11:20:56 - Warn   :    adt { A08 - Update          , 63605_3401_TA2 }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:20:56 - Warn   :    adt { A08 - Update          , 63605_3402_VI  }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:00 - Info   :    adt { A03 - Discharge       , 63605_3403_DA  }, lookups { adt.CreatedNew, patient.CreatedNew, location.CreatedNew           }: STORED!  
11:21:00 - Warn   :    adt { A08 - Update          , 63605_3404_MA  }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:00 - Warn   :    adt { A08 - Update          , 63606_1_TA2    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:00 - Warn   :    adt { A08 - Update          , 63606_2_VI     }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:00 - Warn   :    adt { A08 - Update          , 63606_3_TA2    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:00 - Warn   :    adt { A08 - Update          , 63606_4_VI     }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:01 - Warn   :    adt { A08 - Update          , 63606_5_TA2    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:01 - Warn   :    adt { A08 - Update          , 63606_6_VI     }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:01 - Warn   :    adt { A08 - Update          , 63606_7_TA2    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:01 - Warn   :    adt { A08 - Update          , 63606_8_VI     }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:01 - Warn   :    adt { A08 - Update          , 63606_9_TA2    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:01 - Warn   :    adt { A08 - Update          , 63606_10_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:01 - Warn   :    adt { A08 - Update          , 63606_11_TA2   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:01 - Warn   :    adt { A08 - Update          , 63606_12_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:01 - Warn   :    adt { A08 - Update          , 63606_13_TA2   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:02 - Warn   :    adt { A08 - Update          , 63606_14_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:02 - Warn   :    adt { A08 - Update          , 63606_15_TA2   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:02 - Warn   :    adt { A08 - Update          , 63606_16_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:02 - Warn   :    adt { A08 - Update          , 63606_17_TA2   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:02 - Warn   :    adt { A08 - Update          , 63606_18_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:02 - Warn   :    adt { A08 - Update          , 63606_19_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:02 - Warn   :    adt { A08 - Update          , 63606_20_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:02 - Warn   :    adt { A08 - Update          , 63606_21_TA2   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:02 - Warn   :    adt { A08 - Update          , 63606_22_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:02 - Warn   :    adt { A08 - Update          , 63606_23_PV    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:03 - Warn   :    adt { A08 - Update          , 63606_24_FV    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:03 - Warn   :    adt { A08 - Update          , 63606_25_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:03 - Info   :    adt { A02 - Transfer        , 63606_26_TA1   }, lookups { adt.CreatedNew, patient.CreatedNew, location.CreatedNew           }: STORED!  
11:21:03 - Warn   :    adt { A08 - Update          , 63606_27_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:03 - Info   :    adt { A03 - Discharge       , 63606_28_DA    }, lookups { adt.CreatedNew, patient.CreatedNew, location.CreatedNew           }: STORED!  
11:21:03 - Warn   :    adt { A08 - Update          , 63606_29_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:03 - Warn   :    adt { A08 - Update          , 63606_30_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:03 - Warn   :    adt { A08 - Update          , 63606_31_TA2   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:03 - Warn   :    adt { A08 - Update          , 63606_32_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:04 - Warn   :    adt { A08 - Update          , 63606_33_PV    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:04 - Warn   :    adt { A08 - Update          , 63606_34_FV    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:04 - Warn   :    adt { A08 - Update          , 63606_35_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:04 - Warn   :    adt { A08 - Update          , 63606_36_TA2   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:04 - Warn   :    adt { A08 - Update          , 63606_37_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:04 - Warn   :    adt { A08 - Update          , 63606_38_TA2   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:04 - Warn   :    adt { A08 - Update          , 63606_39_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:04 - Info   :    adt { A02 - Transfer        , 63606_40_TA1   }, lookups { adt.CreatedNew, patient.CreatedNew, location.CreatedNew           }: STORED!  
11:21:04 - Warn   :    adt { A08 - Update          , 63606_41_TA4   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:04 - Warn   :    adt { A08 - Update          , 63606_42_VI    }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
11:21:05 - Info   :    adt { A02 - Transfer        , 63606_43_TA1   }, lookups { adt.CreatedNew, patient.CreatedNew, location.CreatedNew           }: STORED!  
11:21:05 - Warn   :    adt { A08 - Update          , 63606_44_TA4   }, lookups { adt.null      , patient.null      , location.null                 }: Skipped! 1 Warnings: SKIP: not configured to process A08
